workerid,language,initialValue,die0numdots,die0color,die1numdots,die1color,die2numdots,die2color,die3numdots,die3color,numRed,numBlack,context,quantifier,number,qcolor,attentionCheck,requestedValue,rt,response
A2QBSHKTRY2831,English,0.639625548152253,6,black,5,red,1,red,2,black,6,8,plain,bare,four,black,No,NA,20083,41
A2QBSHKTRY2831,English,0.5212735021486878,5,black,5,red,4,red,2,black,9,7,plain,more than,six,red,No,NA,7429,78
A2QBSHKTRY2831,English,0.8375443299300969,5,black,4,red,6,red,5,black,10,10,existential,exactly,seven,black,No,NA,6464,0
A2QBSHKTRY2831,English,0.5272401485126466,1,black,1,black,6,red,2,red,8,2,plain,only,five,black,No,NA,8211,0
A2QBSHKTRY2831,English,0.016728331334888935,2,black,1,black,4,red,6,red,10,3,existential,less than,five,black,No,NA,10817,94
A2QBSHKTRY2831,English,0.9246917823329568,2,black,5,black,6,red,1,red,7,7,existential,more than,seven,red,No,NA,6972,0
A2QBSHKTRY2831,English,0.6486617773771286,1,red,4,black,5,black,1,red,2,9,plain,only,eight,red,No,NA,5309,0
A2QBSHKTRY2831,English,0.9501504546497017,5,red,6,black,2,red,1,black,7,7,existential,exactly,four,black,No,NA,11168,0
A2QBSHKTRY2831,English,0.7592459286097437,1,black,3,black,1,red,4,red,5,4,plain,exactly,eight,black,No,NA,7549,3
A2QBSHKTRY2831,English,0.6463624499738216,2,black,4,red,4,red,5,black,8,7,existential,exactly,seven,red,No,NA,7301,100
A2QBSHKTRY2831,English,0.8598675390239805,4,black,5,black,2,red,3,red,5,9,plain,less than,eight,red,No,NA,15415,84
A2QBSHKTRY2831,English,0.9887501818593591,3,red,2,black,5,red,1,black,8,3,plain,exactly,four,red,No,NA,9085,18
A2QBSHKTRY2831,English,0.41937500541098416,2,red,4,black,2,black,4,red,6,6,plain,bare,eight,black,Yes,50,9989,50
A2QBSHKTRY2831,English,0.43545784172602,5,red,5,black,5,black,5,red,10,10,plain,more than,six,black,No,NA,4733,94
A2QBSHKTRY2831,English,0.5781746092252433,5,black,4,red,5,black,2,red,6,10,existential,bare,five,black,No,NA,8080,62
A2QBSHKTRY2831,English,0.3443253901787102,5,red,5,black,4,black,5,red,10,9,existential,bare,six,red,No,NA,5386,68
A2QBSHKTRY2831,English,0.0021295093465596437,1,red,5,red,6,black,1,black,6,7,existential,bare,four,red,No,NA,6035,92
A2QBSHKTRY2831,English,0.1746850989293307,5,black,2,black,6,red,2,red,8,7,plain,more than,eight,red,No,NA,8984,45
A2QBSHKTRY2831,English,0.33855204889550805,6,black,5,black,3,red,6,red,9,11,plain,bare,six,black,No,NA,9294,60
A2QBSHKTRY2831,English,0.7410292208660394,2,black,1,black,3,red,3,red,6,3,existential,bare,seven,black,No,NA,14354,43
A2QBSHKTRY2831,English,0.3225210849195719,3,red,1,red,6,black,5,black,4,11,existential,exactly,seven,black,No,NA,8751,10
A2QBSHKTRY2831,English,0.9698524291161448,5,red,1,red,5,black,6,black,6,11,plain,bare,five,black,No,NA,15019,58
A2QBSHKTRY2831,English,0.8303480530157685,6,black,3,black,2,red,6,red,8,9,existential,only,eight,black,No,NA,5262,79
A2QBSHKTRY2831,English,0.17079703230410814,6,black,5,red,6,black,5,red,10,12,plain,only,seven,black,No,NA,9442,47
A2QBSHKTRY2831,English,0.7971898694522679,2,black,2,red,3,black,1,red,3,5,plain,less than,five,red,No,NA,8835,36
A2QBSHKTRY2831,English,0.48305041436105967,5,black,6,black,1,red,5,red,6,11,existential,bare,four,red,Yes,63,7440,63
A2QBSHKTRY2831,English,0.30049623642116785,4,black,3,black,2,red,1,red,3,7,plain,exactly,eight,red,No,NA,6031,13
A2QBSHKTRY2831,English,0.8908924369607121,1,red,2,black,6,black,6,red,7,8,plain,less than,four,black,No,NA,7756,13
A2QBSHKTRY2831,English,0.9496993138454854,6,red,5,black,5,red,5,black,11,10,plain,bare,seven,black,No,NA,5158,59
A2QBSHKTRY2831,English,0.1958489753305912,5,red,5,black,1,red,4,black,6,9,plain,bare,four,red,No,NA,7048,60
A2QBSHKTRY2831,English,0.9769267064984888,5,red,3,black,2,red,4,black,7,7,existential,exactly,six,red,No,NA,7884,28
A2QBSHKTRY2831,English,0.6988673929590732,5,black,5,black,3,red,1,red,4,10,existential,more than,five,black,No,NA,10372,34
A2QBSHKTRY2831,English,0.8267991975881159,2,red,6,black,4,red,1,black,6,7,plain,exactly,eight,red,No,NA,13927,41
A2QBSHKTRY2831,English,0.45842069876380265,1,red,5,black,4,red,5,black,5,10,plain,only,seven,red,No,NA,9526,40
A2QBSHKTRY2831,English,0.07338521024212241,6,red,6,red,6,black,4,black,12,10,existential,less than,five,red,No,NA,6762,24
A2QBSHKTRY2831,English,0.056402717949822545,4,black,1,red,2,red,5,black,3,9,plain,exactly,four,black,No,NA,5864,32
A2QBSHKTRY2831,English,0.21456244704313576,5,black,1,black,4,red,4,red,8,6,existential,bare,four,red,No,NA,5856,60
A2QBSHKTRY2831,English,0.9922426755074412,3,black,6,red,5,black,4,red,10,8,plain,exactly,eight,black,No,NA,9161,100
A2QBSHKTRY2831,English,0.4125666965264827,1,red,5,black,3,red,5,black,4,10,plain,more than,four,red,No,NA,4988,31
A2QBSHKTRY2831,English,0.6877062008716166,6,red,1,black,3,red,6,black,9,7,plain,only,six,black,No,NA,5684,68
A2VWG0L5JHOBWN,english,0.17065018904395401,2,red,4,red,2,black,2,black,6,4,plain,bare,five,red,No,NA,7980,29
A2VWG0L5JHOBWN,english,0.6382135564927012,6,red,1,red,6,black,2,black,7,8,existential,exactly,four,black,No,NA,1304,52
A2VWG0L5JHOBWN,english,0.8038953708019108,5,red,4,red,3,black,5,black,9,8,plain,exactly,six,black,No,NA,1225,41
A2VWG0L5JHOBWN,english,0.7065382157452404,1,red,6,black,5,black,3,red,4,11,existential,exactly,seven,black,No,NA,1856,54
A2VWG0L5JHOBWN,english,0.4849430399481207,1,black,5,red,4,red,6,black,9,7,plain,bare,eight,black,No,NA,53014,61
A2VWG0L5JHOBWN,english,0.8111419519409537,4,red,2,black,4,black,3,red,7,6,plain,exactly,six,black,No,NA,1356,50
A2VWG0L5JHOBWN,english,0.5107652167789638,6,red,4,black,1,black,3,red,9,5,plain,more than,seven,red,No,NA,7750,57
A2VWG0L5JHOBWN,english,0.3887495349626988,6,black,6,red,3,black,6,red,12,9,existential,less than,eight,red,No,NA,1293,48
A2VWG0L5JHOBWN,english,0.05380119546316564,6,red,2,black,3,black,4,red,10,5,existential,less than,seven,black,No,NA,1046,44
A2VWG0L5JHOBWN,english,0.3604340460151434,5,black,2,red,1,black,3,red,5,6,existential,only,four,red,No,NA,1293,54
A2VWG0L5JHOBWN,english,0.1373426504433155,4,black,5,black,4,red,2,red,6,9,plain,only,eight,black,No,NA,1305,55
A2VWG0L5JHOBWN,english,0.32291544950567186,3,red,3,black,5,black,3,red,6,8,existential,less than,five,red,No,NA,1249,41
A2VWG0L5JHOBWN,english,0.6657560006715357,5,black,4,red,1,red,3,black,5,8,existential,bare,six,black,Yes,63,1091,48
A2VWG0L5JHOBWN,english,0.5306039964780211,1,black,6,red,4,black,4,red,10,5,existential,bare,eight,red,No,NA,1101,37
A2VWG0L5JHOBWN,english,0.0847646554466337,5,red,2,black,5,black,5,red,10,7,existential,less than,eight,black,No,NA,1103,50
A2VWG0L5JHOBWN,english,0.7670179721899331,3,red,5,black,1,black,4,red,7,6,plain,only,five,black,No,NA,1080,38
A2VWG0L5JHOBWN,english,0.828757283044979,1,red,2,black,5,red,2,black,6,4,plain,less than,eight,black,No,NA,1956,43
A2VWG0L5JHOBWN,english,0.6097571819555014,6,black,5,black,1,red,6,red,7,11,existential,bare,eight,black,No,NA,50838,48
A2VWG0L5JHOBWN,english,0.7660170132294297,1,red,4,red,1,black,2,black,5,3,existential,exactly,five,black,No,NA,75698,49
A2VWG0L5JHOBWN,english,0.46820619353093207,5,red,6,red,6,black,4,black,11,10,existential,bare,seven,red,No,NA,1069,71
A2VWG0L5JHOBWN,english,0.7128059866372496,4,red,4,red,3,black,6,black,8,9,existential,more than,four,black,No,NA,2013,47
A2VWG0L5JHOBWN,english,0.01438441826030612,1,red,3,black,3,red,1,black,4,4,plain,exactly,five,black,No,NA,2182,45
A2VWG0L5JHOBWN,english,0.8097447275649756,3,black,3,red,4,red,3,black,7,6,plain,more than,six,red,No,NA,2306,44
A2VWG0L5JHOBWN,english,0.037153493613004684,1,red,2,black,5,red,4,black,6,6,plain,exactly,seven,black,No,NA,1372,42
A2VWG0L5JHOBWN,english,0.20354857458733022,1,red,2,red,4,black,4,black,3,8,existential,exactly,five,black,No,NA,1079,55
A2VWG0L5JHOBWN,english,0.2779190680012107,1,red,5,black,5,red,6,black,6,11,plain,only,seven,red,Yes,55,1114,43
A2VWG0L5JHOBWN,english,0.3539361406583339,4,red,1,black,5,red,1,black,9,2,plain,less than,seven,red,No,NA,1238,54
A2VWG0L5JHOBWN,english,0.3236068799160421,1,red,3,red,1,black,1,black,4,2,existential,exactly,seven,black,No,NA,2880,53
A2VWG0L5JHOBWN,english,0.5713844655547291,1,black,4,red,1,red,2,black,5,3,existential,exactly,four,black,No,NA,1068,39
A2VWG0L5JHOBWN,english,0.8454445458482951,6,red,5,red,2,black,3,black,11,5,plain,less than,eight,red,No,NA,1047,46
A2VWG0L5JHOBWN,english,0.36847340781241655,5,red,2,black,4,red,6,black,9,8,existential,bare,seven,black,No,NA,2408,52
A2VWG0L5JHOBWN,english,0.4883771841414273,1,red,5,red,4,black,5,black,6,9,existential,only,eight,red,No,NA,1181,62
A2VWG0L5JHOBWN,english,0.07083995849825442,6,red,6,red,5,black,6,black,12,11,plain,bare,eight,red,No,NA,1024,53
A2VWG0L5JHOBWN,english,0.3477929786313325,1,red,6,black,1,red,3,black,2,9,plain,bare,five,red,No,NA,1169,44
A2VWG0L5JHOBWN,english,0.8041814279276878,4,black,4,red,4,red,4,black,8,8,existential,more than,five,red,No,NA,2171,45
A2VWG0L5JHOBWN,english,0.5731811870355159,4,red,4,black,3,black,2,red,6,7,plain,bare,four,black,No,NA,1203,44
A2VWG0L5JHOBWN,english,0.40873933117836714,3,black,4,red,1,black,3,red,7,4,existential,bare,seven,red,No,NA,1721,66
A2VWG0L5JHOBWN,english,0.21452043554745615,1,black,1,red,1,black,4,red,5,2,plain,less than,seven,black,No,NA,956,42
A2VWG0L5JHOBWN,english,0.8908556657843292,6,red,1,black,5,black,2,red,8,6,plain,exactly,five,red,No,NA,990,48
A2VWG0L5JHOBWN,english,0.7754197067115456,1,black,6,black,5,red,3,red,8,7,plain,more than,four,red,No,NA,1147,47
A1FP3SH704X01V,english,0.6307665907495646,2,red,2,red,1,black,1,black,4,2,existential,exactly,six,black,No,NA,7331,0
A1FP3SH704X01V,english,0.6615155690942891,1,red,1,black,6,red,5,black,7,6,existential,more than,eight,black,No,NA,5468,0
A1FP3SH704X01V,english,0.4740150133928167,6,black,1,red,1,black,5,red,6,7,existential,only,six,black,No,NA,3791,0
A1FP3SH704X01V,english,0.2811442853688778,3,red,3,red,4,black,4,black,6,8,existential,exactly,six,black,No,NA,5014,0
A1FP3SH704X01V,english,0.30078069998536194,2,red,1,red,5,black,3,black,3,8,existential,exactly,seven,red,No,NA,3975,0
A1FP3SH704X01V,english,0.05597755877094224,3,black,2,red,6,black,6,red,8,9,plain,less than,seven,black,No,NA,4609,0
A1FP3SH704X01V,english,0.9940811032771198,6,black,2,black,5,red,6,red,11,8,plain,exactly,four,red,No,NA,8982,0
A1FP3SH704X01V,english,0.7596359619421631,4,black,4,red,6,black,6,red,10,10,plain,more than,four,black,No,NA,4311,100
A1FP3SH704X01V,english,0.42304490720909294,2,red,6,black,4,black,3,red,5,10,plain,less than,eight,red,No,NA,4070,98
A1FP3SH704X01V,english,0.12334754564470884,4,red,3,red,3,black,3,black,7,6,existential,exactly,six,black,No,NA,3270,100
A1FP3SH704X01V,english,0.9463563585964907,5,black,2,red,3,red,2,black,5,7,plain,only,seven,black,No,NA,5281,100
A1FP3SH704X01V,english,0.28826834952482505,6,red,2,black,1,black,4,red,10,3,existential,only,five,red,No,NA,3353,0
A1FP3SH704X01V,english,0.7317965139076368,1,black,4,black,4,red,2,red,6,5,existential,more than,six,black,Yes,10,5286,10
A1FP3SH704X01V,english,0.5781631448864545,1,black,1,black,2,red,6,red,8,2,plain,bare,eight,black,No,NA,2862,0
A1FP3SH704X01V,english,0.061605446740416125,6,black,2,red,1,black,6,red,8,7,plain,less than,seven,black,No,NA,4103,0
A1FP3SH704X01V,english,0.9940570833260861,6,black,1,red,2,black,2,red,3,8,existential,more than,six,black,No,NA,8048,100
A1FP3SH704X01V,english,0.8364335514706693,6,red,1,black,3,black,4,red,10,4,existential,bare,eight,black,No,NA,3478,0
A1FP3SH704X01V,english,0.9215586655152883,5,black,6,black,4,red,5,red,9,11,existential,bare,eight,red,No,NA,4656,0
A1FP3SH704X01V,english,0.7321618890146557,1,black,6,red,6,black,2,red,8,7,plain,less than,seven,black,No,NA,2997,0
A1FP3SH704X01V,english,0.5789341919021207,2,black,4,black,2,red,4,red,6,6,existential,less than,six,red,No,NA,4927,0
A1FP3SH704X01V,english,0.2817025652510088,5,black,3,red,1,red,4,black,4,9,plain,more than,six,black,No,NA,4161,94
A1FP3SH704X01V,english,0.16677076222237452,2,black,5,black,3,red,6,red,9,7,existential,more than,eight,black,No,NA,2684,0
A1FP3SH704X01V,english,0.9698811319707191,2,red,2,black,4,black,1,red,3,6,plain,more than,four,red,No,NA,3201,0
A1FP3SH704X01V,english,0.9060758599737229,2,red,1,black,1,black,4,red,6,2,plain,more than,seven,black,No,NA,2568,0
A1FP3SH704X01V,english,0.4656873788285314,5,black,6,red,5,red,4,black,11,9,plain,less than,eight,black,No,NA,5159,0
A1FP3SH704X01V,english,0.3020618445608906,5,black,6,red,3,black,6,red,12,8,existential,only,eight,red,Yes,13,4438,13
A1FP3SH704X01V,english,0.2512178714467267,4,black,2,red,3,black,1,red,3,7,plain,exactly,eight,red,No,NA,6664,0
A1FP3SH704X01V,english,0.3200383790623812,6,black,3,red,1,black,3,red,6,7,plain,more than,six,black,No,NA,4734,100
A1FP3SH704X01V,english,0.8129061751189751,5,red,3,black,2,black,3,red,8,5,plain,more than,seven,black,No,NA,3375,0
A1FP3SH704X01V,english,0.002278994225511477,2,black,4,red,3,black,5,red,9,5,existential,bare,four,black,No,NA,5877,0
A1FP3SH704X01V,english,0.5125467286786781,4,black,2,red,6,black,6,red,8,10,plain,exactly,six,black,No,NA,5024,0
A1FP3SH704X01V,english,0.40488025868697486,6,red,5,black,6,black,4,red,10,11,existential,bare,eight,red,No,NA,7222,53
A1FP3SH704X01V,english,0.886693455471803,1,red,5,red,6,black,1,black,6,7,existential,bare,seven,black,No,NA,4135,100
A1FP3SH704X01V,english,0.006119552849888632,5,black,3,black,5,red,4,red,9,8,plain,bare,seven,black,No,NA,5302,66
A1FP3SH704X01V,english,0.1679411104920837,2,red,1,black,3,black,3,red,5,4,existential,bare,six,red,No,NA,4999,0
A1FP3SH704X01V,english,0.8181929872080834,1,black,5,black,3,red,1,red,4,6,plain,less than,five,black,No,NA,4628,30
A1FP3SH704X01V,english,0.2928989665311207,5,black,4,black,4,red,4,red,8,9,existential,exactly,six,red,No,NA,5012,0
A1FP3SH704X01V,english,0.2714572370489229,5,red,4,red,1,black,6,black,9,7,existential,exactly,six,black,No,NA,4438,64
A1FP3SH704X01V,english,0.13596147456431773,6,red,6,black,4,red,4,black,10,10,plain,exactly,four,red,No,NA,4336,48
A1FP3SH704X01V,english,0.3711089815992059,6,red,5,red,4,black,3,black,11,7,plain,more than,seven,red,No,NA,3254,80
A2YBZFSUD5OP7W,English,0.43480814062058926,1,black,6,red,2,black,4,red,10,3,existential,more than,five,red,No,NA,3837,100
A2YBZFSUD5OP7W,English,0.5547361485660076,1,black,5,red,5,red,4,black,10,5,plain,more than,seven,black,No,NA,2617,0
A2YBZFSUD5OP7W,English,0.6220110738649964,5,red,1,black,3,red,5,black,8,6,existential,bare,six,black,No,NA,2965,100
A2YBZFSUD5OP7W,English,0.6220890255644917,5,red,2,red,3,black,6,black,7,9,existential,exactly,seven,black,No,NA,1993,0
A2YBZFSUD5OP7W,English,0.1943085864186287,1,black,5,red,6,red,1,black,11,2,plain,less than,four,red,No,NA,3182,0
A2YBZFSUD5OP7W,English,0.14966943114995956,6,red,4,black,6,red,4,black,12,8,existential,only,five,red,No,NA,2251,0
A2YBZFSUD5OP7W,English,0.9541046470403671,6,red,3,red,5,black,3,black,9,8,plain,bare,eight,red,No,NA,4648,0
A2YBZFSUD5OP7W,English,0.3758697679731995,5,black,5,red,1,black,3,red,8,6,plain,less than,six,black,No,NA,2690,0
A2YBZFSUD5OP7W,English,0.322155934991315,6,red,2,black,3,red,4,black,9,6,plain,exactly,five,black,No,NA,2964,0
A2YBZFSUD5OP7W,English,0.5707614165730774,5,black,5,black,4,red,2,red,6,10,existential,bare,seven,red,No,NA,2759,0
A2YBZFSUD5OP7W,English,0.5952913311775774,5,red,2,black,4,black,4,red,9,6,plain,bare,six,red,No,NA,1885,0
A2YBZFSUD5OP7W,English,0.48979148804210126,5,black,6,red,1,red,1,black,7,6,existential,only,eight,red,No,NA,3210,8
A2YBZFSUD5OP7W,English,0.036285892594605684,4,black,2,red,5,red,6,black,7,10,plain,bare,seven,black,Yes,68,2822,68
A2YBZFSUD5OP7W,English,0.32746296538971364,3,red,4,red,6,black,1,black,7,7,existential,exactly,five,red,No,NA,2606,3
A2YBZFSUD5OP7W,English,0.06832770816981792,5,black,3,red,4,black,4,red,7,9,existential,bare,four,black,No,NA,1908,0
A2YBZFSUD5OP7W,English,0.18779738037846982,1,black,2,red,5,black,4,red,6,6,plain,exactly,four,red,No,NA,2148,0
A2YBZFSUD5OP7W,English,0.7089698158670217,5,red,3,red,3,black,3,black,8,6,plain,exactly,five,red,No,NA,1951,0
A2YBZFSUD5OP7W,English,0.4388123322278261,6,red,3,black,2,black,6,red,12,5,plain,bare,eight,black,No,NA,2093,0
A2YBZFSUD5OP7W,English,0.2986236859578639,3,red,6,red,4,black,6,black,9,10,existential,less than,five,red,No,NA,1735,0
A2YBZFSUD5OP7W,English,0.8808387373574078,6,red,1,red,2,black,5,black,7,7,plain,exactly,five,red,No,NA,2009,0
A2YBZFSUD5OP7W,English,0.8397046802565455,3,red,1,red,2,black,6,black,4,8,existential,exactly,four,black,No,NA,2613,0
A2YBZFSUD5OP7W,English,0.2597320592030883,1,black,2,red,2,black,5,red,7,3,existential,bare,eight,black,No,NA,1869,0
A2YBZFSUD5OP7W,English,0.27611588477157056,1,red,5,black,2,black,3,red,4,7,plain,exactly,six,red,No,NA,1655,0
A2YBZFSUD5OP7W,English,0.0859263758175075,3,black,2,red,2,red,3,black,4,6,plain,bare,six,red,No,NA,1797,0
A2YBZFSUD5OP7W,English,0.15342314215376973,2,black,3,red,4,red,5,black,7,7,existential,only,five,black,No,NA,2140,0
A2YBZFSUD5OP7W,English,0.07611638121306896,3,red,6,black,2,black,2,red,5,8,plain,more than,six,red,Yes,35,3436,35
A2YBZFSUD5OP7W,English,0.7622860732953995,2,black,1,red,6,red,5,black,7,7,plain,more than,four,red,No,NA,3134,100
A2YBZFSUD5OP7W,English,0.8748955854680389,3,red,4,black,1,red,1,black,4,5,plain,bare,seven,red,No,NA,2030,2
A2YBZFSUD5OP7W,English,0.9406024201307446,2,black,6,black,5,red,6,red,11,8,existential,bare,seven,black,No,NA,5054,0
A2YBZFSUD5OP7W,English,0.8189380562398583,5,red,4,red,1,black,2,black,9,3,plain,exactly,eight,black,No,NA,2744,4
A2YBZFSUD5OP7W,English,0.348227882059291,6,red,1,black,1,black,1,red,7,2,plain,bare,four,black,No,NA,1487,0
A2YBZFSUD5OP7W,English,0.32979683647863567,3,red,6,red,1,black,4,black,9,5,plain,bare,four,black,No,NA,1802,0
A2YBZFSUD5OP7W,English,0.3687369355466217,3,red,3,black,3,red,4,black,6,7,existential,exactly,five,red,No,NA,2579,0
A2YBZFSUD5OP7W,English,0.9338532104156911,1,black,1,red,5,red,6,black,6,7,existential,only,eight,black,No,NA,2935,0
A2YBZFSUD5OP7W,English,0.06804726482369006,4,black,2,red,1,black,6,red,8,5,existential,only,five,black,No,NA,2388,100
A2YBZFSUD5OP7W,English,0.5548651090357453,3,black,1,red,2,red,4,black,3,7,existential,bare,eight,red,No,NA,2408,0
A2YBZFSUD5OP7W,English,0.7050574594177306,1,red,2,black,2,red,1,black,3,3,plain,exactly,seven,red,No,NA,2125,0
A2YBZFSUD5OP7W,English,0.9137933445163071,4,black,3,black,1,red,6,red,7,7,plain,bare,five,black,No,NA,2209,0
A2YBZFSUD5OP7W,English,0.5563506467733532,6,black,2,red,2,red,4,black,4,10,existential,only,seven,black,No,NA,2149,0
A2YBZFSUD5OP7W,English,0.004880201071500778,5,red,3,black,4,red,3,black,9,6,plain,exactly,six,black,No,NA,2878,100
A36T3XYC4WBLNK,English,0.13556244131177664,6,red,5,black,5,black,5,red,11,10,existential,bare,eight,black,No,NA,6646,70
A36T3XYC4WBLNK,English,0.886267552152276,3,black,3,black,6,red,3,red,9,6,plain,bare,six,black,No,NA,2699,100
A36T3XYC4WBLNK,English,0.7557283218484372,1,red,5,red,6,black,6,black,6,12,plain,bare,four,red,No,NA,5943,70
A36T3XYC4WBLNK,English,0.4476431680377573,3,black,3,red,4,black,4,red,7,7,plain,only,eight,black,No,NA,5532,0
A36T3XYC4WBLNK,English,0.8890765851829201,6,red,1,red,3,black,6,black,7,9,existential,less than,eight,red,No,NA,7847,90
A36T3XYC4WBLNK,English,0.9244597705546767,1,red,3,black,5,black,1,red,2,8,plain,less than,eight,red,No,NA,5023,90
A36T3XYC4WBLNK,English,0.4586023779120296,4,red,3,black,2,black,5,red,9,5,plain,bare,eight,red,No,NA,6677,70
A36T3XYC4WBLNK,English,0.08611241797916591,5,red,3,red,4,black,1,black,8,5,existential,less than,six,red,No,NA,5273,90
A36T3XYC4WBLNK,English,0.24181890743784606,2,red,2,black,6,black,3,red,5,8,existential,less than,eight,black,No,NA,4118,0
A36T3XYC4WBLNK,English,0.1885249395854771,4,red,6,black,2,black,3,red,7,8,existential,less than,seven,black,No,NA,6833,0
A36T3XYC4WBLNK,English,0.7648190381005406,3,red,4,red,4,black,4,black,7,8,plain,exactly,four,black,No,NA,19017,10
